name,trial,a,b,rating,rt_ms,ts,strategy
Cosmic Raven,1,6,8,5,3131,2026-09-08T18:25:03.484+00:00,shape
Cosmic Raven,2,4,5,2,1861,2026-09-08T18:25:05.564+00:00,shape
Cosmic Raven,3,2,1,2,4537,2026-09-08T18:25:10.319+00:00,shape
Cosmic Raven,4,4,3,2,2370,2026-09-08T18:25:12.914+00:00,shape
Cosmic Raven,5,7,8,2,1621,2026-09-08T18:25:14.757+00:00,shape
Cosmic Raven,6,4,2,2,1395,2026-09-08T18:25:16.379+00:00,shape
Cosmic Raven,7,8,2,2,1242,2026-09-08T18:25:17.846+00:00,shape
Cosmic Raven,8,4,8,2,1053,2026-09-08T18:25:19.116+00:00,shape
Cosmic Raven,9,5,4,2,1144,2026-09-08T18:25:20.485+00:00,shape
Cosmic Raven,10,8,6,6,2385,2026-09-08T18:25:23.092+00:00,shape
Cosmic Raven,11,5,1,2,1126,2026-09-08T18:25:24.444+00:00,shape
Cosmic Raven,12,5,9,2,985,2026-09-08T18:25:25.647+00:00,shape
Cosmic Raven,13,5,6,2,1011,2026-09-08T18:25:26.883+00:00,shape
Cosmic Raven,14,9,2,2,1835,2026-09-08T18:25:28.939+00:00,shape
Cosmic Raven,15,4,1,2,1160,2026-09-08T18:25:30.323+00:00,shape
Cosmic Raven,16,1,7,2,909,2026-09-08T18:25:31.451+00:00,shape
Cosmic Raven,17,1,9,2,1095,2026-09-08T18:25:32.775+00:00,shape
Cosmic Raven,18,1,6,2,1152,2026-09-08T18:25:34.151+00:00,shape
Cosmic Raven,19,4,9,2,844,2026-09-08T18:25:35.215+00:00,shape
Cosmic Raven,20,0,9,5,1964,2026-09-08T18:25:37.406+00:00,shape
Cosmic Raven,21,1,3,2,1364,2026-09-08T18:25:38.990+00:00,shape
Cosmic Raven,22,7,1,2,1127,2026-09-08T18:25:40.342+00:00,shape
Cosmic Raven,23,6,5,2,1869,2026-09-08T18:25:42.434+00:00,shape
Cosmic Raven,24,2,9,2,902,2026-09-08T18:25:43.559+00:00,shape
Cosmic Raven,25,6,0,6,1919,2026-09-08T18:25:45.698+00:00,shape
Cosmic Raven,26,2,8,2,1126,2026-09-08T18:25:47.046+00:00,shape
Cosmic Raven,27,9,4,2,995,2026-09-08T18:25:48.267+00:00,shape
Cosmic Raven,28,5,2,2,819,2026-09-08T18:25:49.309+00:00,shape
Cosmic Raven,29,6,3,5,3294,2026-09-08T18:25:52.824+00:00,shape
Cosmic Raven,30,2,3,2,1119,2026-09-08T18:25:54.169+00:00,shape
Cosmic Raven,31,8,3,5,2834,2026-09-08T18:25:57.222+00:00,shape
Cosmic Raven,32,0,7,2,1745,2026-09-08T18:25:59.194+00:00,shape
Cosmic Raven,33,3,1,2,1061,2026-09-08T18:26:00.476+00:00,shape
Cosmic Raven,34,3,0,2,2742,2026-09-08T18:26:03.440+00:00,shape
Cosmic Raven,35,0,1,2,1012,2026-09-08T18:26:04.673+00:00,shape
Cosmic Raven,36,9,8,5,5135,2026-09-08T18:26:10.034+00:00,shape
Cosmic Raven,37,6,2,2,7689,2026-09-08T18:26:17.946+00:00,shape
Cosmic Raven,38,8,1,2,1005,2026-09-08T18:26:19.175+00:00,shape
Cosmic Raven,39,9,0,5,2095,2026-09-08T18:26:21.489+00:00,shape
Cosmic Raven,40,9,6,6,2460,2026-09-08T18:26:24.175+00:00,shape
Cosmic Raven,41,7,2,2,1294,2026-09-08T18:26:25.689+00:00,shape
Cosmic Raven,42,6,9,6,1269,2026-09-08T18:26:27.184+00:00,shape
Cosmic Raven,43,6,4,2,1229,2026-09-08T18:26:28.635+00:00,shape
Cosmic Raven,44,7,3,2,725,2026-09-08T18:26:29.583+00:00,shape
Cosmic Raven,45,7,6,2,870,2026-09-08T18:26:30.678+00:00,shape
Cosmic Raven,46,9,7,2,1594,2026-09-08T18:26:32.491+00:00,shape
Cosmic Raven,47,8,5,2,1310,2026-09-08T18:26:34.026+00:00,shape
Cosmic Raven,48,3,7,2,1059,2026-09-08T18:26:35.304+00:00,shape
Cosmic Raven,49,0,4,2,1044,2026-09-08T18:26:36.575+00:00,shape
Cosmic Raven,50,3,6,6,2160,2026-09-08T18:26:38.960+00:00,shape
Cosmic Raven,51,5,7,2,1302,2026-09-08T18:26:40.485+00:00,shape
Cosmic Raven,52,8,0,6,2061,2026-09-08T18:26:42.766+00:00,shape
